FACILITY_IDENTIFIER,FACILITY_NAME,FACILITY_TYPE,COUNTY,PHONE 1,PHONE 2,EMAIL 1,EMAIL 2,TOTAL_LICENCE_CAPACITY,ANNUAL_INSPECTION,ANNUAL_UNANNOUNCED_INSPECTION,PROBATIONARY_EXPIRY_DATE,AGE_RANGE,PROG_FULL_DAY,PROG_PART_DAY,PROG_SCHOOL_AGE,FAMILY_HOME,AGE_INFANT,AGE_TODDLER,AGE_PRESCHOOL,AGE_SCHOOL_AGE,ADDRESS,CITY,POSTAL,Location
2968428,Wee Bairn Preschool,Day Care Facility,Halifax County,902-477-2117,,,,15,"October 3, 2018","May 4, 2018",,30 months - 12 years,No,Yes,Yes,No,No,Yes,Yes,Yes,18 COLINDALE ST.,HALIFAX,B3P 2A2,"18 COLINDALE ST.
HALIFAX, NS B3P 2A2
(44.628561, -63.611478)"
2969966,Colby Village Pre-School,Day Care Facility,Halifax County,902-434-7396,,mackenzie4@bellaliant.net,,40,"November 1, 2018","June 7, 2019",,30 months - 5 years,No,Yes,No,No,No,Yes,Yes,No,144 AVONDALE RD.,DARTMOUTH,B2V 1H6,"144 AVONDALE RD.
DARTMOUTH, NS B2V 1H6
(44.667806, -63.488875)"
2969979,East Preston Day Care Centre,Day Care Facility,Halifax County,902-462-0054,,eastprestondaycare@bellaliant.com,,85,"October 9, 2018","July 9, 2019",,3 months - 10 years,Yes,No,Yes,No,Yes,Yes,Yes,Yes,1799 HIGHWAY 7 HWY.,EAST PRESTON,B2Z 1E9,
2970035,Allegro Child Care Centre Limited,Day Care Facility,Halifax County,902-423-6989,,allegro@eastlink.ca,,88,"September 26, 2018","March 20, 2019",,3 months - 8 years,Yes,No,Yes,No,Yes,Yes,Yes,Yes,5415 VICTORIA RD.,HALIFAX,B3H 4K5,"5415 VICTORIA RD.
HALIFAX, NS B3H 4K5
(44.63615, -63.571724)"
2970124,Kids and Company Sackville- Unit 1 and 5,Day Care Facility,Halifax County,902-864-4845,,dmorphy@kidsandcompany.com,,102,"November 2, 2018","June 19, 2019",,3 months - 10 years,Yes,No,Yes,No,Yes,Yes,Yes,Yes,22 GLENDALE AVE.,LOWER SACKVILLE,B4C 3M1,"22 GLENDALE AVE.
LOWER SACKVILLE, NS B4C 3M1
(44.759017, -63.658184)"
2970194,Brins de Soleil Centre Prescolaire,Day Care Facility,Cape Breton County,902-539-8854,,etoile@eastlink.ca,,30,"November 5, 2018","May 15, 2019",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,15 INGLIS ST.,SYDNEY,B1P 7C6,"15 INGLIS ST.
SYDNEY, NS B1P 7C6
(46.140887, -60.183258)"
2970208,Mayflower After-School Program,Day Care Facility,Kings County,902-542-6074,,banda50@eastlink.ca,,30,"October 2, 2018","April 24, 2019",,4 years - 12 years,No,No,Yes,No,No,No,No,Yes,1261 BELCHER ST.,PORT WILLIAMS,B0P 1T0,"1261 BELCHER ST.
PORT WILLIAMS, NS B0P 1T0
(45.09151, -64.420335)"
2970223,Erica's Day Care Centre,Day Care Facility,Halifax County,902-827-2497,,ericasdaycare@hotmail.com,,60,"July 24, 2019","April 2, 2019",,18 months - 12 years,Yes,Yes,Yes,No,No,Yes,Yes,Yes,4182 HIGHWAY 7 HWY.,PORTERS LAKE,B3E 1E6,
2972164,Explore & Discover Early Learning Centre,Day Care Facility,Cape Breton County,902-270-3988,,exploreanddiscov@eastlink.ca,,18,"April 15, 2019","October 18, 2018",,18 months - 5 years,Yes,No,No,No,No,Yes,Yes,No,1488 GEORGE ST.,SYDNEY,B1P 1P3,"1488 GEORGE ST.
SYDNEY, NS B1P 1P3
(46.116581, -60.169798)"
2972166,YMCA of Southwest Nova Scotia Association (Hebbville),Day Care Facility,Lunenburg County,902-543-6399,,candy_zinck@ymca.ca,,23,"September 18, 2018","April 4, 2019",,4 years - 12 years,No,No,Yes,No,No,No,No,Yes,16147 HIGHWAY 3 HWY.,HEBBVILLE,B4V 6Y1,
2972169,Just Right Child Care,Day Care Facility,Annapolis County,902-242-3080,,jrcc@justrightchildcare.com,,36,"August 1, 2019","April 16, 2019",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,15143 HIGHWAY 1 HWY.,WILMOT,B0P 1R0,
2972174,Magic Beings Child Care Centre,Day Care Facility,Halifax County,902-445-2270,,jodismagicbeings@hotmail.com,,50,"October 23, 2018","April 16, 2019",,5 years - 12 years,No,No,Yes,No,No,No,No,Yes,67 SUNNYBRAE AVE.,HALIFAX,B3N 2G6,"67 SUNNYBRAE AVE.
HALIFAX, NS B3N 2G6
(44.650885, -63.638426)"
2972570,Halifax Early Childhood School,Day Care Facility,Halifax County,902-422-4562,,grll@eastlink.ca,,36,"November 1, 2018","April 13, 2019",,18 months - 5 years,Yes,Yes,No,No,No,Yes,Yes,No,5498 INGLIS ST.,HALIFAX,B3H 1J8,"5498 INGLIS ST.
HALIFAX, NS B3H 1J8
(44.635141, -63.573102)"
2972612,Montessori Children's House,Day Care Facility,Halifax County,902-423-0640,,marystephen@live.ca,,18,"November 9, 2018","April 25, 2019",,2.5 years - 5 years,Yes,No,No,No,No,Yes,Yes,No,2130 ARMCRESCENT WEST AVE.,HALIFAX,B3L 3E3,"2130 ARMCRESCENT WEST AVE.
HALIFAX, NS B3L 3E3
(44.642654, -63.60928)"
2972835,The Growing Place:  Early Education Centre Ltd.,Day Care Facility,Halifax County,902-464-9358,,thegrowingplace@outlook.com,,117,"December 3, 2018","June 12, 2018",,3 months - 12 years,Yes,No,Yes,No,Yes,Yes,Yes,Yes,230 PLEASANT ST.,DARTMOUTH,B2Y 3R8,"230 PLEASANT ST.
DARTMOUTH, NS B2Y 3R8
(44.658327, -63.550799)"
2974102,Lower South River Preschool,Day Care Facility,Antigonish County,902-863-0514,,lsrps@eastlink.ca,,45,"October 2, 2018","April 26, 2019",,6 months - 12 years,Yes,No,Yes,No,Yes,Yes,Yes,Yes,4 HARBOUR LANE,LOWER SOUTH RIVER,B2G 2L4,"4 HARBOUR LANE
LOWER SOUTH RIVER, NS B2G 2L4
(45.621778, -61.997344)"
2974898,Digby Pre-School Co-op,Day Care Facility,Digby County,902-245-5780,,digbypreschoolcoop@ns.aliantzinc.ca,,20,"October 24, 2018","April 1, 2019",,30 months - 5 years,Yes,No,No,No,No,Yes,Yes,No,84 WARWICK ST.,DIGBY,B0V 1A0,"84 WARWICK ST.
DIGBY, NS B0V 1A0
(44.616787, -65.762754)"
2974906,Cormier's Play and Learn,Day Care Facility,Antigonish County,"902-867-3872 - cell, 902-867-7581",,,,55,"October 30, 2018","April 30, 2019",,3 months - 12 years,Yes,No,Yes,No,Yes,Yes,Yes,Yes,2402 CAMDEN LOOP,ANTIGONISH,B2G 2W5,"2402 CAMDEN LOOP
ANTIGONISH, NS B2G 2W5
(45.619948, -61.991466)"
2974983,Kids & Company Ltd - Dartmouth,Day Care Facility,Halifax County,902-407-8802,,dartmouth@kidsandcompany.com,,136,"August 16, 2018","April 17, 2019",,3 months - 12 years,Yes,No,Yes,No,Yes,Yes,Yes,Yes,639 PORTLAND HILLS DR.,DARTMOUTH,B2W 0J7,"639 PORTLAND HILLS DR.
DARTMOUTH, NS B2W 0J7
(44.669282, -63.507703)"
2975075,Hands On Learning Centre,Day Care Facility,Pictou County,902-396-3880,,paq77@rogers.com,,40,"October 10, 2018","May 29, 2019",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,1875 MAIN ST.,WESTVILLE,B0K 2A0,"1875 MAIN ST.
WESTVILLE, NS B0K 2A0
(45.559197, -62.713069)"
2975124,Chester and Area Family Resource Centre - Kidz Zone Afterschool Program,Day Care Facility,Lunenburg County,902-275-4347,,info@chesterfamilycentre.ca,,27,"October 17, 2018","May 3, 2019",,Pre-primary - 12 years,No,No,Yes,No,No,No,No,Yes,110 CLEARWAY ST.,MAHONE BAY,B0J 2E0,"110 CLEARWAY ST.
MAHONE BAY, NS B0J 2E0
(44.454189, -64.386491)"
2975139,Sydney Day Care,Day Care Facility,Cape Breton County,902-539-5965,,sydneydaycare@ns.aliantzinc.ca,,115,"May 29, 2019","December 18, 2018",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,62 COTTAGE RD.,SYDNEY,B1P 2C7,"62 COTTAGE RD.
SYDNEY, NS B1P 2C7
(46.130699, -60.185482)"
2975190,Kids & Company Ltd,Day Care Facility,Halifax County,902-455-5236 ext: 0,,dmorphy@kidsandcompany.com,,132,"October 2, 2018","April 5, 2019",,3 months - 12 years,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3260 BARRINGTON ST.,HALIFAX,B3K 2X7,"3260 BARRINGTON ST.
HALIFAX, NS B3K 2X7
(44.667446, -63.59785)"
2975786,Kingstec Campus Learning Centre,Day Care Facility,Kings County,902-679-7384,,kellyann.hamshaw@nscc.ca,,44,"August 29, 2018","March 28, 2019",,0 months - 6 years,Yes,No,No,No,Yes,Yes,Yes,No,236 BELCHER ST.,KENTVILLE,B4N 0A6,"236 BELCHER ST.
KENTVILLE, NS B4N 0A6
(45.084772, -64.48196)"
2975792,Duck Duck Goose Children's Centre Limited (Lantana),Day Care Facility,Halifax County,902-433-0320,,kristamkchapman@hotmail.com,,14,"November 2, 2018","June 21, 2019",,30 months - 12 years,Yes,Yes,Yes,No,No,Yes,Yes,Yes,17 LANTANA TERR.,DARTMOUTH,B2X 3L2,"17 LANTANA TERR.
DARTMOUTH, NS B2X 3L2
(44.696297, -63.54041)"
2975795,First Friends Day Care Society,Day Care Facility,Halifax County,902-865-4493,,annstewart@bellaliant.com,,51,"November 1, 2018","May 22, 2019",,18 months - 12 years,Yes,Yes,Yes,No,No,Yes,Yes,Yes,4 JUDY AVE.,LOWER SACKVILLE,B4E 1A7,"4 JUDY AVE.
LOWER SACKVILLE, NS B4E 1A7
(44.778245, -63.695758)"
2976747,Hubbards Nursery School Co-op Ltd,Day Care Facility,Halifax County,902-857-4200,,hubbardscoop@gmail.com,,12,"November 2, 2018","May 8, 2019",,30 months - 5 years,No,Yes,No,No,No,Yes,Yes,No,10089 ST MARGARETS BAY RD.,HUBBARDS,B0J 1T0,"10089 ST MARGARETS BAY RD.
HUBBARDS, NS B0J 1T0
(44.644117, -64.049268)"
2976765,La P'tite Academie Societe,Day Care Facility,Digby County,902-769-3250,,academie@scolaire.ednet.ns.ca,,62,"October 1, 2018","April 2, 2019",,3 months - 12 years,Yes,No,Yes,No,Yes,Yes,Yes,Yes,450 PATRICE RD.,CHURCH POINT,B0W 1M0,"450 PATRICE RD.
CHURCH POINT, NS B0W 1M0
(44.327101, -66.103359)"
2976771,Parrsboro & District Headstart Program Society,Day Care Facility,Cumberland County,902-254-4201,,woodamie@hotmail.com,,19,"November 6, 2018","May 16, 2018",,3 years - 5 years,No,Yes,No,No,No,No,Yes,No,43 SCHOOL ST.,PARRSBORO,B0M 1S0,"43 SCHOOL ST.
PARRSBORO, NS B0M 1S0
(45.405355, -64.327969)"
2976793,Caledonia & Area Nursery School,Day Care Facility,Queens County,"902-642-1999 - cell, 902-354-3966 - home",,jfmeisnerlvp@bellaliant.net,,12,"October 23, 2018","April 16, 2019",,30 months - 5 years,No,Yes,No,No,No,Yes,Yes,No,40 WEST CALEDONIA  RD.,CALEDONIA,B0T 1B0,"40 WEST CALEDONIA  RD.
CALEDONIA, NS B0T 1B0
(44.372303, -65.032724)"
2976799,Becky's Day Care Ltd.,Day Care Facility,Halifax County,902-860-2203,,naomi_amirault@hotmail.com,,246,"October 16, 2018","May 31, 2019",,5 months - 10 years,Yes,No,Yes,No,Yes,Yes,Yes,Yes,1 LAKEWOOD DR.,WAVERLEY,B2R 1E3,"1 LAKEWOOD DR.
WAVERLEY, NS B2R 1E3
(44.783225, -63.598476)"
2977649,Colchester Early Learning Centre Association,Day Care Facility,Colchester County,902-895-1317,,ccdc@bellaliant.com,,56,"September 5, 2018","March 11, 2019",,18months -  11 years,Yes,No,Yes,No,No,Yes,Yes,Yes,60 LORNE ST.,TRURO,B2N 3K3,"60 LORNE ST.
TRURO, NS B2N 3K3
(45.367908, -63.279615)"
2977963,Papillons & Pissenlits,Day Care Facility,Yarmouth County,902-648-4745,,lisad@atlanticlobsters.ca,,16,"November 27, 2018","April 18, 2019",,30 months - 5 years,No,Yes,No,No,No,Yes,Yes,No,811 HIGHWAY 335 HWY.,WEST PUBNICO,B0W 3S0,
2978008,Debbie's Pre-School,Day Care Facility,Halifax County,902-434-3278,,dave.boyd222@outlook.com,,14,"November 5, 2018","May 14, 2019",,2 years - 5 years,No,Yes,No,No,No,Yes,Yes,No,449 POPLAR DR.,DARTMOUTH,B2W 4L2,"449 POPLAR DR.
DARTMOUTH, NS B2W 4L2
(44.673581, -63.50028)"
2980100,Duck Duck Goose Children's Centre Limited (Portland Estates),Day Care Facility,Halifax County,902-435-5370,,kristamkchapman@hotmail.com,,26,"January 31, 2019","July 10, 2018",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,16 PORTLAND ESTATES BLVD.,DARTMOUTH,B2W 6A1,"16 PORTLAND ESTATES BLVD.
DARTMOUTH, NS B2W 6A1
(44.66991, -63.518893)"
2982317,Point Pleasant Child Care Centre (St. Mary's),Day Care Facility,Halifax County,902-422-2293,,ppccc@ns.sympatico.ca,,36,"January 23, 2019","July 30, 2019",,18 months - 5 years,Yes,No,No,No,No,Yes,Yes,No,5845 GORSEBROOK AVE.,HALIFAX,B3H 1G3,"5845 GORSEBROOK AVE.
HALIFAX, NS B3H 1G3
(44.629899, -63.578884)"
2982526,Point Pleasant Child Care Centre (Infant),Day Care Facility,Halifax County,902-422-2293,,ppccc@ns.sympatico.ca,,23,"January 23, 2019","July 30, 2019",,3 months - 3 years,Yes,No,No,No,Yes,Yes,Yes,No,5845 GORSEBROOK AVE.,HALIFAX,B3H 1G3,"5845 GORSEBROOK AVE.
HALIFAX, NS B3H 1G3
(44.629899, -63.578884)"
2982542,Point Pleasant Child Care Centre (Ogilvie),Day Care Facility,Halifax County,902-422-2293,,ppccc@ns.sympatico.ca,,75,"January 23, 2019","July 30, 2019",,18 months - 6 years,Yes,No,No,No,No,Yes,Yes,No,5651 OGILVIE  ST.,HALIFAX,B3H 1B9,"5651 OGILVIE  ST.
HALIFAX, NS B3H 1B9
(44.6283, -63.571137)"
2983173,New Beginnings Day Care,Day Care Facility,Halifax County,902-445-7938,,natlielynch@gmail.com,,17,"November 30, 2018","July 12, 2019",,3 years - 12 years,Yes,No,Yes,No,No,No,Yes,Yes,181 MAIN AVE.,HALIFAX,B3M 1B4,"181 MAIN AVE.
HALIFAX, NS B3M 1B4
(44.655458, -63.643603)"
2983196,Mini Miner's Day Care & Preschool,Day Care Facility,Cape Breton County,902-862-9400,,miniminers@ns.aliantzinc.ca,,22,"December 4, 2018","June 18, 2019",,18 months - 5 years,Yes,No,No,No,No,Yes,Yes,No,3469 ELLSWORTH AVE.,NEW WATERFORD,B1H 2G4,"3469 ELLSWORTH AVE.
NEW WATERFORD, NS B1H 2G4
(46.252264, -60.088683)"
2983227,Project ELM Pre-school (Dutch Settlement),Day Care Facility,Halifax County,,,,,15,"November 8, 2018","May 27, 2019",,3 years - 5 years,No,Yes,No,No,No,No,Yes,No,780 HIGHWAY 277,DUTCH SETTLEMENT,,"780 HIGHWAY 277
DUTCH SETTLEMENT, NS
(44.985305, -63.449183)"
2984038,House of Children Day Care,Day Care Facility,Pictou County,902-752-1099,,daycare@ns.aliantzinc.ca,,27,"June 10, 2019","January 24, 2019",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,824 ABERCROMBIE RD.,NEW GLASGOW,B2H 5C6,"824 ABERCROMBIE RD.
NEW GLASGOW, NS B2H 5C6
(45.60352, -62.653304)"
2984049,Christopher Robin's Learning Centre Inc.,Day Care Facility,Halifax County,902-468-5208,,crlc@eastlink.ca,,72,"December 4, 2018","August 16, 2018",,3 months - 5 years,Yes,No,No,No,Yes,Yes,Yes,No,11 SCARFE COURT,DARTMOUTH,B3B 1W4,"11 SCARFE COURT
DARTMOUTH, NS B3B 1W4
(44.707688, -63.59554)"
2984055,Bean Sprouts Learning Center,Day Care Facility,Halifax County,902-443-4327,,beansproutscare@yahoo.ca,,14,"February 11, 2019","July 3, 2018",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,110 FREDERICK AVE. UNIT,HALIFAX,B3N 2L1,"110 FREDERICK AVE. UNIT
HALIFAX, NS B3N 2L1
(44.652207, -63.641612)"
2984078,Kings County Family Resource Centre Home Day Care Agency,Family Home Day Care Agency,Kings County,902-678-5760,,melissa.connell@bellaliant.com,,,"November 16, 2018","June 4, 2019",,,No,No,No,Yes,No,No,No,No,503 MAIN ST.,KENTVILLE,B4N 1L4,"503 MAIN ST.
KENTVILLE, NS B4N 1L4
(45.07773, -64.501061)"
2987731,Care & Fun Childcare Limited (Bedford Highway),Day Care Facility,Halifax County,902-445-0881,,hoda@carenfun.ca,,74,"November 27, 2018","June 14, 2019",,18 months - 12 years,Yes,Yes,Yes,No,No,Yes,Yes,Yes,199 BEDFORD HWY.,HALIFAX,B3M 2J9,"199 BEDFORD HWY.
HALIFAX, NS B3M 2J9
(44.675005, -63.647365)"
2992086,Christopher Allan's PreSchool Inc,Day Care Facility,Halifax County,902-405-3675,,capreschool@eastlink.ca,,14,"November 30, 2018","May 28, 2018",,3 years - 9 years,Yes,No,No,No,No,No,Yes,No,6463 ALMON ST.,HALIFAX,B3L 1V6,"6463 ALMON ST.
HALIFAX, NS B3L 1V6
(44.650756, -63.607556)"
2992096,Lower Onslow Playschool Association,Day Care Facility,Colchester County,902-662-2495,,regmichelin@eastlink.ca,,20,"January 10, 2019","June 5, 2019",,30 months - 5 years,No,Yes,No,No,No,Yes,Yes,No,12391 HIGHWAY 2 HWY.,LOWER ONSLOW,B6L 5E4,
2992107,Gore District Playschool,Day Care Facility,Hants County,,,,,32,"November 8, 2018","April 9, 2019",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,1020 HIGHWAY 202 HWY.,WEST GORE,B0N 1P0,
2992118,Mawio'mi Child Care Centre,Day Care Facility,Halifax County,902-491-1330,,melissa.mccarthy2@nscc.ca,,47,"January 15, 2019","June 18, 2019",,3 months - 5 years,Yes,No,No,No,Yes,Yes,Yes,No,"80 MAWIOMI PL. WING ""C""",DARTMOUTH,B2Y 0A5,"80 MAWIOMI PL. WING ""C""
DARTMOUTH, NS B2Y 0A5
(44.654092, -63.551689)"
2992120,Red Apple Children's Centre Ltd (The),Day Care Facility,Antigonish County,"902-863-4357, 902-863-0430",,,,40,"April 8, 2019","October 9, 2018",,18 months - 10 years,Yes,No,Yes,No,No,Yes,Yes,Yes,12 CARTER CRES.,ANTIGONISH,B2G 2S8,"12 CARTER CRES.
ANTIGONISH, NS B2G 2S8
(45.628056, -61.999134)"
2992496,Beech Tree Academy,Day Care Facility,Halifax County,902-450-5338,,doristhibeau@beechtreeacademy.ca,,126,"January 7, 2019","July 16, 2019",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,5 OLIVER ST.,BEECHVILLE,B3T 1A2,"5 OLIVER ST.
BEECHVILLE, NS B3T 1A2
(44.637926, -63.691358)"
2993714,Garderie Familiale de Clare (La),Family Home Day Care Agency,Digby County,902-645-2673,,lagarderie@bellaliant.com,,,"January 8, 2019","June 21, 2018",,,No,No,No,Yes,No,No,No,No,33 HACHÉ CHEMIN,METEGHAN,B0W 2J0,
2993752,Through The Looking Glass Child Care Ltd.,Day Care Facility,Halifax County,902-827-4283,,ttlgchildcare@gmail.com,,49,"December 13, 2018","August 23, 2018",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,5228 HIGHWAY 7 HWY.,PORTERS LAKE,B3E 1J7,
2993762,Harbourview Montessori Children's House,Day Care Facility,Cape Breton County,902-539-8884,,harbourviewoffice@gmail.com,,40,"January 17, 2019","May 8, 2018",,3 years - 6 years,Yes,No,Yes,No,No,No,Yes,Yes,290 MURPHY RD.,SYDNEY,B1R 1W8,"290 MURPHY RD.
SYDNEY, NS B1R 1W8
(46.136453, -60.220468)"
2994751,Mrs. Robinson's Children's Centre Too,Day Care Facility,Halifax County,,,niallrobinson@bellaliant.net,,30,"January 16, 2019","September 26, 2018",,3 years - 12 years,No,Yes,Yes,No,No,No,No,Yes,1480 FALL RIVER RD.,FALL RIVER,B2T 1J1,"1480 FALL RIVER RD.
FALL RIVER, NS B2T 1J1
(44.817853, -63.613377)"
2994764,Family Home Child Care Society,Family Home Day Care Agency,Pictou County,902-928-2211,,t.e@eastlink.ca,,,"January 16, 2019","July 24, 2018",,,No,No,No,Yes,No,No,No,No,281 FOORD ST. UNIT B,STELLARTON,B0K 1S0,"281 FOORD ST. UNIT B
STELLARTON, NS B0K 1S0
(45.557409, -62.660227)"
2996976,Nurtured By Nature Preschool,Day Care Facility,Cape Breton County,902-322-3517,,johnstoncerin@hotmail.com,,10,"January 22, 2019","June 5, 2019",,3 years - 5 years,No,Yes,No,No,No,No,Yes,No,49 WESTMOUNT RD.,WESTMOUNT,B1R 1A1,"49 WESTMOUNT RD.
WESTMOUNT, NS B1R 1A1
(46.120323, -60.217865)"
2997289,Citizen Service League Nursery School (Town House),Day Care Facility,Cape Breton County,902-849-2449,,,,25,"April 25, 2019","October 25, 2018",,3 years - 5 years,No,Yes,No,No,No,No,Yes,No,150 COMMERCIAL ST.,GLACE BAY,B1A 3C1,"150 COMMERCIAL ST.
GLACE BAY, NS B1A 3C1
(46.196082, -59.956484)"
2997725,Armbrae Academy Preschool,Day Care Facility,Halifax County,902-430-8762,,head@armbrae.ns.ca,,24,"May 3, 2019","October 9, 2018",,3 years - 5 years,Yes,No,No,No,No,No,Yes,No,1400 OXFORD ST.,HALIFAX,B3H 3Y8,"1400 OXFORD ST.
HALIFAX, NS B3H 3Y8
(44.636308, -63.596101)"
3000248,Maple Tree Montessori Ltd.,Day Care Facility,Halifax County,902-406-3040,,mapletreemontessori@me.com,,34,"February 15, 2019","October 24, 2018",,3 years - 12 years,Yes,No,No,No,No,No,Yes,Yes,3008 OXFORD ST.,HALIFAX,B3L 2W5,"3008 OXFORD ST.
HALIFAX, NS B3L 2W5
(44.653886, -63.6091)"
3000261,Giant Steps Children's Centre Inc. (Wyndham Drive),Day Care Facility,Halifax County,902-826-3040,,lisarondeau@icloud.com,,68,"January 16, 2019","July 24, 2019",,18 months - 5 years,Yes,No,No,No,No,Yes,Yes,No,129 WYNDHAM DR.,UPPER TANTALLON,B3Z 0G5,"129 WYNDHAM DR.
UPPER TANTALLON, NS B3Z 0G5
(44.722124, -63.872196)"
3000269,Jane Norman College After School Program,Day Care Facility,Colchester County,"902-893-3342, 902-956-2630 - cell",,mackenziej@inst-hse.ca,,75,"September 13, 2018","June 13, 2019",,4 years - 12 years,No,No,Yes,No,No,No,No,Yes,125 CURTIS DR.,TRURO,B2N 0C5,"125 CURTIS DR.
TRURO, NS B2N 0C5
(45.34726, -63.284127)"
3000878,Giant Steps Children's Centre Inc.,Day Care Facility,Halifax County,902-820-3236,,giantstepsns@gmail.com,,74,"January 25, 2019","June 26, 2018",,3 months - 12 years,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,399 WESTWOOD BLVD.,UPPER TANTALLON,B3Z 4K2,"399 WESTWOOD BLVD.
UPPER TANTALLON, NS B3Z 4K2
(44.71766, -63.880427)"
3000884,A Bungalo' Fun Learning Centre,Day Care Facility,Colchester County,902-843-3992,,angefitzgerald@hotmail.com,,27,"August 2, 2018","April 16, 2019",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,24 KAULBACK ST.,TRURO,B2N 3M6,"24 KAULBACK ST.
TRURO, NS B2N 3M6
(45.359235, -63.289147)"
3000898,Tadpoles and Pollywogs Child Care Centre,Day Care Facility,Halifax County,902-444-0421,,,,16,"March 8, 2019","August 17, 2018",,3 months  - 12 years,Yes,No,Yes,No,Yes,Yes,Yes,Yes,28 GOUROK AVE.,DARTMOUTH,B2X 2B3,"28 GOUROK AVE.
DARTMOUTH, NS B2X 2B3
(44.695033, -63.539381)"
3000909,Kinder Kampus,Day Care Facility,Pictou County,902-755-7268,,janice.rehill@nscc.ca,,34,"February 21, 2019","September 5, 2018",,18 months - 6 years,Yes,No,No,No,No,Yes,Yes,No,39 ACADIA  AVE.,STELLARTON,B0K 1S0,"39 ACADIA  AVE.
STELLARTON, NS B0K 1S0
(45.557442, -62.665124)"
3002638,Open View Pre-School,Day Care Facility,Halifax County,902-434-4195,,openviewpreschool@rogers.com,,14,"February 20, 2019","September 27, 2018",,2 years - 5 years,No,Yes,No,No,No,Yes,Yes,No,4144 LAWRENCETOWN RD.,LAWRENCETOWN,B2Z 1R1,"4144 LAWRENCETOWN RD.
LAWRENCETOWN, NS B2Z 1R1
(44.643859, -63.354686)"
3002648,Little Ladybug's Child Care Center,Day Care Facility,Halifax County,902-492-1986,,littleladybugs@gmx.com,,44,"July 24, 2019","February 2, 2018",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,6036 COBURG RD.,HALIFAX,B3H 1Y9,"6036 COBURG RD.
HALIFAX, NS B3H 1Y9
(44.639907, -63.587502)"
3002655,Purple Door Children's Centre,Day Care Facility,Halifax County,902-434-3160,,nbishop@eastlink.ca,,20,"November 29, 2018","May 21, 2019",,18 months - 6 years,Yes,No,No,No,No,Yes,Yes,No,9 DUMBARTON AVE.,DARTMOUTH,B2X 1Z7,"9 DUMBARTON AVE.
DARTMOUTH, NS B2X 1Z7
(44.692067, -63.538226)"
3002659,Spring Garden Child Care Centre,Day Care Facility,Pictou County,902-695-6739,,springgardenccc@eastlink.ca,,70,"January 29, 2019","July 31, 2018",,3 months - 5 years,Yes,Yes,No,No,Yes,Yes,Yes,No,2499 TRURO RD.,WESTVILLE,B0K 2A0,"2499 TRURO RD.
WESTVILLE, NS B0K 2A0
(45.576136, -62.722455)"
3002664,Red Apple Children's Centre,Day Care Facility,Antigonish County,"902-863-4357, 902-863-0430",,,,30,"April 8, 2019","October 17, 2018",,18 months - 10 years,Yes,No,Yes,No,No,Yes,Yes,Yes,77 HIGHLAND DR. UNIT B24,ANTIGONISH,B2G 1P4,"77 HIGHLAND DR. UNIT B24
ANTIGONISH, NS B2G 1P4
(45.619088, -62.004038)"
3004140,Shambhala School Pre-Primary (The),Day Care Facility,Halifax County,902-454-6100,,lnoonan@shambhalaschool.org,,24,"January 23, 2019","May 30, 2018",,3 years - 5 years,Yes,No,No,No,No,No,Yes,No,5450 RUSSELL ST.,HALIFAX,B3K 1W8,"5450 RUSSELL ST.
HALIFAX, NS B3K 1W8
(44.661805, -63.596742)"
3004153,Sheldrake Preschool,Day Care Facility,Halifax County,902-876-2378,,sheldrakepreschoolns@gmail.com,,14,"January 31, 2019","July 29, 2019",,18 months - 12 years,Yes,Yes,Yes,No,No,Yes,Yes,No,46 SHELDRAKE CRES.,HUBLEY,B3Z 1B3,"46 SHELDRAKE CRES.
HUBLEY, NS B3Z 1B3
(44.673395, -63.793107)"
3004733,Crestview Children's Centre (Full Day Care),Day Care Facility,Halifax County,902-832-0972,,crestviewkids@outlook.com,,65,"February 12, 2019","August 21, 2018",,18 months - 12 years,Yes,No,Yes,No,No,Yes,Yes,Yes,1475 BEDFORD HWY. SUITE 104,BEDFORD,B4A 3Z5,"1475 BEDFORD HWY. SUITE 104
BEDFORD, NS B4A 3Z5
(44.731001, -63.660938)"
